restaurant_id,order_count,unique_customers,repeat_customers,cancel_rate,menu_item_count,avg_price,avg_rating,score,cluster,tier
REST00001,0.22727272727272724,0.22727272727272724,0.0,0.0,0.2708333333333333,0.4302717516328103,0.7750000000000001,0.2443923754604284,1,Mid Performer
REST00002,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,0.49999999999999994,0.4588436602954561,0.7083333333333334,0.32464672846931825,2,Growth Potential
REST00003,0.3181818181818182,0.3181818181818182,0.0,0.125,0.3541666666666667,0.40884968143947353,0.55,0.2309727871022767,1,Mid Performer
REST00004,0.2727272727272727,0.2727272727272727,0.0,0.14285714285714285,0.24999999999999997,0.46894479181813775,0.7083333333333334,0.22872321361688092,1,Mid Performer
REST00005,0.5909090909090909,0.5909090909090909,0.0,0.07142857142857142,0.6458333333333333,0.3762943709304768,0.525,0.35825194798375326,0,Champion
REST00006,0.18181818181818182,0.18181818181818182,0.0,0.2,0.22916666666666666,0.39543513267520836,0.5666666666666668,0.16132478693679075,3,Risk Zone
REST00007,0.36363636363636365,0.36363636363636365,0.0,0.1111111111111111,0.4583333333333333,0.4199933639565432,0.8083333333333333,0.29868906213722113,2,Growth Potential
REST00008,0.36363636363636365,0.36363636363636365,0.0,0.1111111111111111,0.375,0.39696658154523046,0.8,0.28795438968332215,2,Growth Potential
REST00009,0.4090909090909091,0.4090909090909091,0.0,0.0,0.4166666666666667,0.23613286524439644,0.8464285714285713,0.3236194138249904,2,Growth Potential
REST00010,0.3181818181818182,0.3181818181818182,0.0,0.0,0.2916666666666667,0.42498074634180494,0.58125,0.24896684034739328,1,Mid Performer
REST00011,0.18181818181818182,0.18181818181818182,0.0,0.0,0.2916666666666667,0.40310672361081945,0.4125,0.17483336648357128,3,Risk Zone
REST00012,0.3181818181818182,0.3181818181818182,0.0,0.0,0.3958333333333333,0.2386571448575229,0.475,0.23412982693984585,1,Mid Performer
REST00013,0.45454545454545453,0.45454545454545453,0.0,0.0,0.5208333333333333,0.46072199871821795,0.7875000000000001,0.35233534236015335,0,Champion
REST00014,0.2727272727272727,0.2727272727272727,0.0,0.14285714285714285,0.3125,0.46168346985927333,0.5416666666666666,0.2096101475189377,1,Mid Performer
REST00015,0.13636363636363635,0.13636363636363635,0.0,0.25,0.12499999999999999,0.24743101189225955,0.75,0.14759882332188567,3,Risk Zone
REST00016,0.3181818181818182,0.3181818181818182,0.0,0.125,0.22916666666666666,0.49101962706247526,0.7083333333333334,0.24633128438342677,1,Mid Performer
REST00017,0.13636363636363635,0.13636363636363635,0.0,0.25,0.14583333333333331,0.3474865224392635,0.7375,0.15280993218256922,3,Risk Zone
REST00018,0.3181818181818182,0.3181818181818182,0.0,0.0,0.3333333333333333,0.28134969173554736,0.8999999999999999,0.29376445428374703,2,Growth Potential
REST00019,0.2727272727272727,0.2727272727272727,0.0,0.0,0.3541666666666667,0.28929652189471555,0.65,0.2428360382159479,1,Mid Performer
REST00020,0.3181818181818182,0.3181818181818182,0.0,0.0,0.3958333333333333,0.39149198347686065,0.6699999999999999,0.2710215688708127,2,Growth Potential
REST00021,0.13636363636363635,0.13636363636363635,0.0,0.0,0.16666666666666666,0.5074813103378532,0.625,0.18351800491083203,3,Risk Zone
REST00022,0.2727272727272727,0.2727272727272727,0.0,0.14285714285714285,0.18749999999999997,0.29206749282363653,0.8499999999999999,0.23487934866715582,1,Mid Performer
REST00023,0.36363636363636365,0.36363636363636365,0.0,0.0,0.3125,0.2806955821606105,0.7875000000000001,0.2906825063807578,2,Growth Potential
REST00024,0.36363636363636365,0.36363636363636365,0.0,0.1111111111111111,0.4166666666666667,0.3513694268577696,0.875,0.30109119861561573,2,Growth Potential
REST00025,0.13636363636363635,0.13636363636363635,0.0,0.0,0.14583333333333331,0.41378911993278733,0.7666666666666666,0.1980000620572454,3,Risk Zone
REST00026,0.3181818181818182,0.3181818181818182,0.0,0.0,0.375,0.28151243473101994,0.8500000000000001,0.29043925810018734,2,Growth Potential
REST00027,0.2727272727272727,0.2727272727272727,0.0,0.0,0.2916666666666667,0.40434082475670374,0.71875,0.2526507533590473,1,Mid Performer
